id,Predicted Likes
898,"low: (0, 3]"
899,"low: (0, 3]"
900,"low: (0, 3]"
901,"low: (0, 3]"
902,"low: (0, 3]"
903,"low: (0, 3]"
904,"low: (0, 3]"
905,"low: (0, 3]"
906,"low: (0, 3]"
907,"low: (0, 3]"
908,"low: (0, 3]"
909,"low: (0, 3]"
910,"low: (0, 3]"
911,"low: (0, 3]"
912,"low: (0, 3]"
913,"low: (0, 3]"
914,"low: (0, 3]"
915,"low: (0, 3]"
916,"low: (0, 3]"
917,"low: (0, 3]"
918,"low: (0, 3]"
919,"low: (0, 3]"
920,"low: (0, 3]"
921,"low: (0, 3]"
922,"low: (0, 3]"
923,"low: (0, 3]"
924,"low: (0, 3]"
925,"low: (0, 3]"
926,"low: (0, 3]"
927,"low: (0, 3]"
928,"high: (26, 233]"
929,"low: (0, 3]"
930,"low: (0, 3]"
931,"low: (0, 3]"
932,"low: (0, 3]"
933,"low: (0, 3]"
934,"low: (0, 3]"
935,"low: (0, 3]"
936,"low: (0, 3]"
937,"low: (0, 3]"
938,"low: (0, 3]"
939,"normal: (3, 26]"
940,"low: (0, 3]"
941,"low: (0, 3]"
942,"low: (0, 3]"
943,"low: (0, 3]"
944,"low: (0, 3]"
945,"low: (0, 3]"
946,"low: (0, 3]"
947,"low: (0, 3]"
948,"low: (0, 3]"
949,"low: (0, 3]"
950,"low: (0, 3]"
951,"low: (0, 3]"
952,"low: (0, 3]"
953,"famous: (233, 4997]"
954,"low: (0, 3]"
955,"low: (0, 3]"
956,"low: (0, 3]"
957,"low: (0, 3]"
958,"low: (0, 3]"
959,"low: (0, 3]"
960,"low: (0, 3]"
961,"low: (0, 3]"
962,"low: (0, 3]"
963,"low: (0, 3]"
964,"low: (0, 3]"
965,"low: (0, 3]"
966,"low: (0, 3]"
967,"low: (0, 3]"
968,"low: (0, 3]"
969,"low: (0, 3]"
970,"low: (0, 3]"
971,"normal: (3, 26]"
972,"low: (0, 3]"
973,"low: (0, 3]"
974,"low: (0, 3]"
975,"low: (0, 3]"
976,"low: (0, 3]"
977,"low: (0, 3]"
978,"low: (0, 3]"
979,"normal: (3, 26]"
980,"normal: (3, 26]"
981,"low: (0, 3]"
982,"low: (0, 3]"
983,"low: (0, 3]"
984,"low: (0, 3]"
985,"normal: (3, 26]"
986,"low: (0, 3]"
987,"low: (0, 3]"
988,"low: (0, 3]"
989,"low: (0, 3]"
990,"low: (0, 3]"
991,"low: (0, 3]"
992,"low: (0, 3]"
993,"low: (0, 3]"
994,"high: (26, 233]"
995,"low: (0, 3]"
996,"low: (0, 3]"
997,"low: (0, 3]"
998,"high: (26, 233]"
999,"low: (0, 3]"
1000,"low: (0, 3]"
1001,"low: (0, 3]"
1002,"normal: (3, 26]"
1003,"low: (0, 3]"
1004,"high: (26, 233]"
1005,"low: (0, 3]"
1006,"low: (0, 3]"
1007,"low: (0, 3]"
1008,"low: (0, 3]"
1009,"low: (0, 3]"
1010,"low: (0, 3]"
1011,"low: (0, 3]"
1012,"low: (0, 3]"
1013,"low: (0, 3]"
1014,"low: (0, 3]"
1015,"low: (0, 3]"
1016,"normal: (3, 26]"
1017,"low: (0, 3]"
1018,"low: (0, 3]"
1019,"low: (0, 3]"
1020,"normal: (3, 26]"
1021,"low: (0, 3]"
1022,"low: (0, 3]"
1023,"low: (0, 3]"
1024,"low: (0, 3]"
1025,"low: (0, 3]"
1026,"low: (0, 3]"
1027,"normal: (3, 26]"
1028,"low: (0, 3]"
1029,"low: (0, 3]"
1030,"low: (0, 3]"
1031,"low: (0, 3]"
1032,"normal: (3, 26]"
1033,"low: (0, 3]"
1034,"low: (0, 3]"
1035,"low: (0, 3]"
1036,"low: (0, 3]"
1037,"normal: (3, 26]"
1038,"normal: (3, 26]"
1039,"normal: (3, 26]"
1040,"low: (0, 3]"
1041,"low: (0, 3]"
1042,"low: (0, 3]"
1043,"low: (0, 3]"
1044,"high: (26, 233]"
1045,"low: (0, 3]"
1046,"normal: (3, 26]"
1047,"low: (0, 3]"
1048,"normal: (3, 26]"
