id,coordinates,longitude,latitude
413,"[-8.6349833, 116.3584253]",116.3584253,-8.6349833
414,"[40.3270127, -86.1746933]",-86.1746933,40.3270127
415,"[39.88771115, -75.19078391488154]",-75.19078391488154,39.88771115
417,"[36.0696054, -106.3237938]",-106.3237938,36.0696054
418,"[41.47441105, -88.05876255177395]",-88.05876255177395,41.47441105
420,"[40.8466508, -73.8785937]",-73.8785937,40.8466508
422,"[46.9599823, 22.0541733]",22.0541733,46.9599823
423,"[49.21230655, -2.1255999596428845]",-2.1255999596428845,49.21230655
426,"[42.3602534, -71.0582912]",-71.0582912,42.3602534
427,"[42.3602534, -71.0582912]",-71.0582912,42.3602534
428,"[28.6141793, 77.2022662]",77.2022662,28.6141793
429,"[41.8755616, -87.6244212]",-87.6244212,41.8755616
430,"[42.2679888, 42.7069095]",42.7069095,42.2679888
435,"[54.7023545, -3.2765753]",-3.2765753,54.7023545
438,"[-86.1582, 39.7692]",-86.1582,39.7692
441,"[-32.8336867, -70.5981609]",-70.5981609,-32.8336867
442,"[31.199004, 29.894378]",29.894378,31.199004
444,"[14.5568853, 121.023532]",121.023532,14.5568853
445,"[55.8609825, -4.2488787]",-4.2488787,55.8609825
447,"[39.9527237, -75.1635262]",-75.1635262,39.9527237
448,"[31.814753, -106.517042]",-106.517042,31.814753
449,"[36.1672559, -115.1485163]",-115.1485163,36.1672559
450,"[4.8412901, 31.5855728]",31.5855728,4.8412901
451,"[20.0171109, 103.378253]",103.378253,20.0171109
452,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
453,"[9.0643305, 7.4892974]",7.4892974,9.0643305
454,"[54.7023545, -3.2765753]",-3.2765753,54.7023545
455,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
458,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
459,"[22.3511148, 78.6677428]",78.6677428,22.3511148
462,"[41.7728699, -88.1479278]",-88.1479278,41.7728699
464,"[10.78322705, 77.52604780096844]",77.52604780096844,10.78322705
465,"[41.2464824, -75.8817316]",-75.8817316,41.2464824
467,"[51.5073219, -0.1276474]",-0.1276474,51.5073219
468,"[44.4936714, 11.3430347]",11.3430347,44.4936714
469,"[40.5834557, -74.1496048]",-74.1496048,40.5834557
470,"[13.470062, -15.4900464]",-15.4900464,13.470062
471,"[14.5906216, 120.9799696]",120.9799696,14.5906216
472,"[55.001251, -115.002136]",-115.002136,55.001251
473,"[-28.8166236, 24.991639]",24.991639,-28.8166236
474,"[28.818746750000003, -81.64585723799206]",-81.64585723799206,28.818746750000003
475,"[52.7954791, -0.5402402866174321]",-0.5402402866174321,52.7954791
476,"[50.6402809, 4.6667145]",4.6667145,50.6402809
477,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
479,"[25.0659637, 55.1713403]",55.1713403,25.0659637
480,"[39.7837304, -100.4458825]",-100.4458825,39.7837304
481,"[40.7127281, -74.0060152]",-74.0060152,40.7127281
483,"[40.9699889, -77.7278831]",-77.7278831,40.9699889
484,"[38.9953683, 21.9877132]",21.9877132,38.9953683
486,"[30.048819, 31.243666]",31.243666,30.048819
489,"[-34.9964963, -64.9672817]",-64.9672817,-34.9964963
490,"[12.8831063, 77.7501677]",77.7501677,12.8831063
491,"[31.55176955, -110.24532264844618]",-110.24532264844618,31.55176955
