id,coordinates
790,"(28.6141793, 77.2022662)"
791,"(3.15025555, 101.76021009194159)"
793,
794,"(22.3511148, 78.6677428)"
797,
798,
799,"(14.8971921, 100.83273)"
801,"(51.5073219, -0.1276474)"
802,"(-10.3333333, -53.2)"
804,"(35.5071045, -78.7391813)"
805,"(39.7837304, -100.4458825)"
806,"(22.3511148, 78.6677428)"
808,"(22.3511148, 78.6677428)"
812,"(28.974744, 79.3963951)"
814,"(40.7080556, -73.9141667)"
816,"(26.1805978, 91.753943)"
817,"(21.9761302, 96.0978693)"
818,"(18.9387711, 72.8353355)"
819,
820,"(42.7089493, -78.5780796)"
821,"(11.135566950000001, -84.76873933231505)"
822,"(10.9094334, 78.3665347)"
823,"(30.4380832, -84.2809332)"
824,
825,"(12.7503486, 122.7312101)"
828,
831,"(44.4936714, 11.3430347)"
832,"(41.000028, 19.9999619)"
833,"(12.9791198, 77.5912997)"
834,"(40.54881555, 17.08058012454743)"
835,"(52.9534193, -1.1496461)"
838,"(53.2352625, -1.4305627)"
839,"(-2.4833826, 117.8902853)"
840,"(39.7392364, -104.9848623)"
843,
844,"(35.49367385, 129.42708554609442)"
845,"(-1.2832533, 36.8172449)"
846,
847,"(53.4877463, -2.2891921)"
849,"(14.8971921, 100.83273)"
850,"(32.3293809, -83.1137366)"
851,"(18.4834351, 74.36216858960698)"
852,"(42.6384261, 12.674297)"
853,"(22.54541245, 88.3567751581234)"
855,
856,"(13.0801721, 80.2838331)"
858,"(14.8971921, 100.83273)"
860,"(44.5990718, -72.5002608)"
861,"(48.3638583, 16.9747684)"
863,"(35.189443, -114.0530065)"
865,"(51.1103444, -0.1801094)"
867,"(22.3511148, 78.6677428)"
868,"(39.1014537, -84.5124602)"
869,"(42.3315509, -83.0466403)"
870,"(33.2588817, -86.8295337)"
873,
874,"(19.4326296, -99.1331785)"
875,"(38.7251776, -105.6077167)"
876,
877,
878,"(40.3270127, -86.1746933)"
879,"(41.8933203, 12.4829321)"
881,"(52.865196, -7.9794599)"
882,"(47.3723941, 8.5423328)"
883,"(34.5078669, -96.9683498)"
884,"(6.4550575, 3.3941795)"
885,"(27.7567667, -81.4639835)"
886,"(40.9699889, -77.7278831)"
888,"(40.152217300000004, 18.2260628338229)"
889,"(4.59808, -74.0760439)"
891,"(51.5073219, -0.1276474)"
892,"(40.8466508, -73.8785937)"
893,"(50.6402809, 4.6667145)"
895,"(32.7762719, -96.7968559)"
896,"(37.1232245, -78.4927721)"
897,
900,"(43.157285, -77.615214)"
902,
905,"(19.4326296, -99.1331785)"
906,
908,"(54.7023545, -3.2765753)"
909,
910,"(22.9964948, 87.6855882)"
911,
912,"(42.6511674, -73.754968)"
913,
914,"(44.5384728, 10.935960870530739)"
915,"(22.54541245, 88.3567751581234)"
916,
917,"(18.9387711, 72.8353355)"
919,
920,"(12.8831063, 77.7501677)"
921,"(32.7762719, -96.7968559)"
923,"(22.4951079, 88.3749813)"
924,"(38.7604815, -92.5617875)"
925,"(-12.0621065, -77.0365256)"
926,"(22.9964948, 87.6855882)"
927,"(39.5163872, -76.6177815)"
928,"(52.7954791, -0.5402402866174321)"
929,"(32.7174209, -117.1627714)"
930,"(39.766826, -75.06300404150056)"
933,"(55.760176, -4.179078)"
935,"(47.531399, 21.6259782)"
936,"(-42.9945669, 170.7100413)"
937,
938,"(53.407154, -2.991665)"
939,"(6.4550575, 3.3941795)"
941,"(33.7490987, -84.3901849)"
942,"(40.0757384, -74.4041622)"
945,"(-37.8142176, 144.9631608)"
946,"(28.6141793, 77.2022662)"
947,"(39.7837304, -100.4458825)"
